SATELLITE;BIDS;WAVELENGTH;RSR
Landsat 7;1;410;0
Landsat 7;1;411;0
Landsat 7;1;412;0
Landsat 7;1;413;0
Landsat 7;1;414;0
Landsat 7;1;415;0
Landsat 7;1;416;0
Landsat 7;1;417;0
Landsat 7;1;418;0
Landsat 7;1;419;0
Landsat 7;1;420;0
Landsat 7;1;421;0
Landsat 7;1;422;0
Landsat 7;1;423;0
Landsat 7;1;424;0
Landsat 7;1;425;0
Landsat 7;1;426;0
Landsat 7;1;427;0
Landsat 7;1;428;0
Landsat 7;1;429;0
Landsat 7;1;430;0
Landsat 7;1;431;0
Landsat 7;1;432;0
Landsat 7;1;433;0
Landsat 7;1;434;0
Landsat 7;1;435;0.016
Landsat 7;1;436;0.027
Landsat 7;1;437;0.048
Landsat 7;1;438;0.094
Landsat 7;1;439;0.167
Landsat 7;1;440;0.287
Landsat 7;1;441;0.459
Landsat 7;1;442;0.605
Landsat 7;1;443;0.728
Landsat 7;1;444;0.769
Landsat 7;1;445;0.792
Landsat 7;1;446;0.821
Landsat 7;1;447;0.857
Landsat 7;1;448;0.857
Landsat 7;1;449;0.862
Landsat 7;1;450;0.839
Landsat 7;1;451;0.845
Landsat 7;1;452;0.81
Landsat 7;1;453;0.802
Landsat 7;1;454;0.804
Landsat 7;1;455;0.779
Landsat 7;1;456;0.798
Landsat 7;1;457;0.816
Landsat 7;1;458;0.876
Landsat 7;1;459;0.888
Landsat 7;1;460;0.901
Landsat 7;1;461;0.918
Landsat 7;1;462;0.896
Landsat 7;1;463;0.903
Landsat 7;1;464;0.888
Landsat 7;1;465;0.89
Landsat 7;1;466;0.863
Landsat 7;1;467;0.86
Landsat 7;1;468;0.842
Landsat 7;1;469;0.866
Landsat 7;1;470;0.875
Landsat 7;1;471;0.881
Landsat 7;1;472;0.888
Landsat 7;1;473;0.898
Landsat 7;1;474;0.879
Landsat 7;1;475;0.884
Landsat 7;1;476;0.907
Landsat 7;1;477;0.928
Landsat 7;1;478;0.932
Landsat 7;1;479;0.955
Landsat 7;1;480;0.958
Landsat 7;1;481;0.948
Landsat 7;1;482;0.952
Landsat 7;1;483;0.956
Landsat 7;1;484;0.98
Landsat 7;1;485;0.98
Landsat 7;1;486;0.975
Landsat 7;1;487;0.973
Landsat 7;1;488;0.977
Landsat 7;1;489;0.958
Landsat 7;1;490;0.965
Landsat 7;1;491;0.957
Landsat 7;1;492;0.952
Landsat 7;1;493;0.973
Landsat 7;1;494;0.974
Landsat 7;1;495;0.995
Landsat 7;1;496;0.986
Landsat 7;1;497;0.986
Landsat 7;1;498;0.994
Landsat 7;1;499;1
Landsat 7;1;500;0.99
Landsat 7;1;501;0.99
Landsat 7;1;502;0.976
Landsat 7;1;503;0.983
Landsat 7;1;504;0.976
Landsat 7;1;505;0.983
Landsat 7;1;506;0.96
Landsat 7;1;507;0.973
Landsat 7;1;508;0.964
Landsat 7;1;509;0.975
Landsat 7;1;510;0.96
Landsat 7;1;511;0.932
Landsat 7;1;512;0.853
Landsat 7;1;513;0.684
Landsat 7;1;514;0.486
Landsat 7;1;515;0.293
Landsat 7;1;516;0.15
Landsat 7;1;517;0.073
Landsat 7;1;518;0.036
Landsat 7;1;519;0.019
Landsat 7;1;520;0.009
Landsat 7;1;521;0
Landsat 7;1;522;0
Landsat 7;1;523;0
Landsat 7;2;500;0.0006
Landsat 7;2;501;0.0009
Landsat 7;2;502;0.001
Landsat 7;2;503;0.002
Landsat 7;2;504;0.002
Landsat 7;2;505;0.003
Landsat 7;2;506;0.005
Landsat 7;2;507;0.009
Landsat 7;2;508;0.0145
Landsat 7;2;509;0.0236
Landsat 7;2;510;0.026
Landsat 7;2;511;0.041
Landsat 7;2;512;0.06
Landsat 7;2;513;0.088
Landsat 7;2;514;0.126
Landsat 7;2;515;0.174
Landsat 7;2;516;0.236
Landsat 7;2;517;0.308
Landsat 7;2;518;0.388
Landsat 7;2;519;0.472
Landsat 7;2;520;0.552
Landsat 7;2;521;0.621
Landsat 7;2;522;0.676
Landsat 7;2;523;0.716
Landsat 7;2;524;0.743
Landsat 7;2;525;0.759
Landsat 7;2;526;0.769
Landsat 7;2;527;0.779
Landsat 7;2;528;0.79
Landsat 7;2;529;0.805
Landsat 7;2;530;0.822
Landsat 7;2;531;0.842
Landsat 7;2;532;0.861
Landsat 7;2;533;0.878
Landsat 7;2;534;0.893
Landsat 7;2;535;0.905
Landsat 7;2;536;0.916
Landsat 7;2;537;0.924
Landsat 7;2;538;0.933
Landsat 7;2;539;0.942
Landsat 7;2;540;0.947
Landsat 7;2;541;0.951
Landsat 7;2;542;0.953
Landsat 7;2;543;0.952
Landsat 7;2;544;0.951
Landsat 7;2;545;0.952
Landsat 7;2;546;0.951
Landsat 7;2;547;0.951
Landsat 7;2;548;0.952
Landsat 7;2;549;0.952
Landsat 7;2;550;0.953
Landsat 7;2;551;0.951
Landsat 7;2;552;0.95
Landsat 7;2;553;0.95
Landsat 7;2;554;0.951
Landsat 7;2;555;0.954
Landsat 7;2;556;0.96
Landsat 7;2;557;0.966
Landsat 7;2;558;0.968
Landsat 7;2;559;0.965
Landsat 7;2;560;0.959
Landsat 7;2;561;0.951
Landsat 7;2;562;0.944
Landsat 7;2;563;0.937
Landsat 7;2;564;0.932
Landsat 7;2;565;0.933
Landsat 7;2;566;0.935
Landsat 7;2;567;0.937
Landsat 7;2;568;0.94
Landsat 7;2;569;0.945
Landsat 7;2;570;0.951
Landsat 7;2;571;0.955
Landsat 7;2;572;0.957
Landsat 7;2;573;0.956
Landsat 7;2;574;0.957
Landsat 7;2;575;0.955
Landsat 7;2;576;0.952
Landsat 7;2;577;0.954
Landsat 7;2;578;0.958
Landsat 7;2;579;0.963
Landsat 7;2;580;0.973
Landsat 7;2;581;0.981
Landsat 7;2;582;0.988
Landsat 7;2;583;0.995
Landsat 7;2;584;1
Landsat 7;2;585;1
Landsat 7;2;586;0.994
Landsat 7;2;587;0.983
Landsat 7;2;588;0.969
Landsat 7;2;589;0.954
Landsat 7;2;590;0.942
Landsat 7;2;591;0.936
Landsat 7;2;592;0.932
Landsat 7;2;593;0.928
Landsat 7;2;594;0.924
Landsat 7;2;595;0.912
Landsat 7;2;596;0.883
Landsat 7;2;597;0.834
Landsat 7;2;598;0.763
Landsat 7;2;599;0.674
Landsat 7;2;600;0.574
Landsat 7;2;601;0.473
Landsat 7;2;602;0.38
Landsat 7;2;603;0.3
Landsat 7;2;604;0.235
Landsat 7;2;605;0.185
Landsat 7;2;606;0.146
Landsat 7;2;607;0.117
Landsat 7;2;608;0.094
Landsat 7;2;609;0.077
Landsat 7;2;610;0.062
Landsat 7;2;611;0.052
Landsat 7;2;612;0.042
Landsat 7;2;613;0.033
Landsat 7;2;614;0.026
Landsat 7;2;615;0.021
Landsat 7;2;616;0.0158
Landsat 7;2;617;0.01235
Landsat 7;2;618;0.0094
Landsat 7;2;619;0.00717
Landsat 7;2;620;0.0048
Landsat 7;2;621;0.0037
Landsat 7;2;622;0.0026
Landsat 7;2;623;0.0017
Landsat 7;2;624;0.0014
Landsat 7;2;625;0
Landsat 7;2;626;0
Landsat 7;2;627;0
Landsat 7;2;628;0
Landsat 7;2;629;0
Landsat 7;2;630;0
Landsat 7;2;635;0
Landsat 7;2;640;0
Landsat 7;2;645;0
Landsat 7;2;650;0
Landsat 7;3;580;0
Landsat 7;3;590;0
Landsat 7;3;600;0
Landsat 7;3;605;0
Landsat 7;3;610;0
Landsat 7;3;611;0
Landsat 7;3;612;0
Landsat 7;3;613;0
Landsat 7;3;614;0.0005
Landsat 7;3;615;0.0001
Landsat 7;3;616;0
Landsat 7;3;617;0.0005
Landsat 7;3;618;0.0006
Landsat 7;3;619;0.0014
Landsat 7;3;620;0.002
Landsat 7;3;621;0.003
Landsat 7;3;622;0.006
Landsat 7;3;623;0.013
Landsat 7;3;624;0.025
Landsat 7;3;625;0.047
Landsat 7;3;626;0.083
Landsat 7;3;627;0.137
Landsat 7;3;628;0.211
Landsat 7;3;629;0.306
Landsat 7;3;630;0.419
Landsat 7;3;631;0.545
Landsat 7;3;632;0.674
Landsat 7;3;633;0.788
Landsat 7;3;634;0.873
Landsat 7;3;635;0.921
Landsat 7;3;636;0.941
Landsat 7;3;637;0.943
Landsat 7;3;638;0.942
Landsat 7;3;639;0.939
Landsat 7;3;640;0.937
Landsat 7;3;641;0.935
Landsat 7;3;642;0.935
Landsat 7;3;643;0.938
Landsat 7;3;644;0.943
Landsat 7;3;645;0.949
Landsat 7;3;646;0.953
Landsat 7;3;647;0.961
Landsat 7;3;648;0.968
Landsat 7;3;649;0.971
Landsat 7;3;650;0.973
Landsat 7;3;651;0.974
Landsat 7;3;652;0.972
Landsat 7;3;653;0.969
Landsat 7;3;654;0.963
Landsat 7;3;655;0.958
Landsat 7;3;656;0.956
Landsat 7;3;657;0.955
Landsat 7;3;658;0.955
Landsat 7;3;659;0.956
Landsat 7;3;660;0.962
Landsat 7;3;661;0.969
Landsat 7;3;662;0.977
Landsat 7;3;663;0.983
Landsat 7;3;664;0.988
Landsat 7;3;665;0.993
Landsat 7;3;666;0.996
Landsat 7;3;667;0.997
Landsat 7;3;668;0.999
Landsat 7;3;669;1
Landsat 7;3;670;1
Landsat 7;3;671;0.998
Landsat 7;3;672;0.996
Landsat 7;3;673;0.995
Landsat 7;3;674;0.993
Landsat 7;3;675;0.992
Landsat 7;3;676;0.991
Landsat 7;3;677;0.989
Landsat 7;3;678;0.988
Landsat 7;3;679;0.984
Landsat 7;3;680;0.977
Landsat 7;3;681;0.97
Landsat 7;3;682;0.96
Landsat 7;3;683;0.949
Landsat 7;3;684;0.94
Landsat 7;3;685;0.932
Landsat 7;3;686;0.919
Landsat 7;3;687;0.898
Landsat 7;3;688;0.863
Landsat 7;3;689;0.809
Landsat 7;3;690;0.729
Landsat 7;3;691;0.625
Landsat 7;3;692;0.506
Landsat 7;3;693;0.382
Landsat 7;3;694;0.272
Landsat 7;3;695;0.183
Landsat 7;3;696;0.12
Landsat 7;3;697;0.079
Landsat 7;3;698;0.053
Landsat 7;3;699;0.036
Landsat 7;3;700;0.025
Landsat 7;3;701;0.0196
Landsat 7;3;702;0.0142
Landsat 7;3;703;0.0101
Landsat 7;3;704;0.0075
Landsat 7;3;705;0
Landsat 7;3;710;0
Landsat 7;3;715;0
Landsat 7;3;720;0
Landsat 7;3;725;0
Landsat 7;3;730;0
Landsat 7;3;740;0
Landsat 7;4;730;0
Landsat 7;4;735;0
Landsat 7;4;740;0.0004
Landsat 7;4;745;0.0037
Landsat 7;4;750;0.001
Landsat 7;4;751;0.0144
Landsat 7;4;752;0.0182
Landsat 7;4;753;0.0216
Landsat 7;4;754;0.0269
Landsat 7;4;755;0.0315
Landsat 7;4;756;0.0377
Landsat 7;4;757;0.0474
Landsat 7;4;758;0.0562
Landsat 7;4;759;0.0688
Landsat 7;4;760;0.069
Landsat 7;4;761;0.083
Landsat 7;4;762;0.099
Landsat 7;4;763;0.121
Landsat 7;4;764;0.146
Landsat 7;4;765;0.175
Landsat 7;4;766;0.209
Landsat 7;4;767;0.248
Landsat 7;4;768;0.294
Landsat 7;4;769;0.346
Landsat 7;4;770;0.402
Landsat 7;4;771;0.463
Landsat 7;4;772;0.523
Landsat 7;4;773;0.588
Landsat 7;4;774;0.649
Landsat 7;4;775;0.705
Landsat 7;4;776;0.757
Landsat 7;4;777;0.797
Landsat 7;4;778;0.827
Landsat 7;4;779;0.853
Landsat 7;4;780;0.871
Landsat 7;4;781;0.884
Landsat 7;4;782;0.892
Landsat 7;4;783;0.899
Landsat 7;4;784;0.903
Landsat 7;4;785;0.908
Landsat 7;4;786;0.911
Landsat 7;4;787;0.916
Landsat 7;4;788;0.92
Landsat 7;4;789;0.925
Landsat 7;4;790;0.926
Landsat 7;4;791;0.927
Landsat 7;4;792;0.927
Landsat 7;4;793;0.929
Landsat 7;4;794;0.932
Landsat 7;4;795;0.93
Landsat 7;4;796;0.926
Landsat 7;4;797;0.926
Landsat 7;4;798;0.925
Landsat 7;4;799;0.928
Landsat 7;4;800;0.925
Landsat 7;4;801;0.926
Landsat 7;4;802;0.928
Landsat 7;4;803;0.928
Landsat 7;4;804;0.928
Landsat 7;4;805;0.923
Landsat 7;4;806;0.92
Landsat 7;4;807;0.919
Landsat 7;4;808;0.914
Landsat 7;4;809;0.91
Landsat 7;4;810;0.908
Landsat 7;4;811;0.905
Landsat 7;4;812;0.903
Landsat 7;4;813;0.904
Landsat 7;4;814;0.902
Landsat 7;4;815;0.909
Landsat 7;4;816;0.917
Landsat 7;4;817;0.92
Landsat 7;4;818;0.928
Landsat 7;4;819;0.938
Landsat 7;4;820;0.946
Landsat 7;4;821;0.953
Landsat 7;4;822;0.962
Landsat 7;4;823;0.969
Landsat 7;4;824;0.971
Landsat 7;4;825;0.971
Landsat 7;4;826;0.97
Landsat 7;4;827;0.969
Landsat 7;4;828;0.969
Landsat 7;4;829;0.97
Landsat 7;4;830;0.967
Landsat 7;4;831;0.969
Landsat 7;4;832;0.968
Landsat 7;4;833;0.963
Landsat 7;4;834;0.965
Landsat 7;4;835;0.967
Landsat 7;4;836;0.965
Landsat 7;4;837;0.963
Landsat 7;4;838;0.958
Landsat 7;4;839;0.95
Landsat 7;4;840;0.949
Landsat 7;4;841;0.943
Landsat 7;4;842;0.933
Landsat 7;4;843;0.929
Landsat 7;4;844;0.928
Landsat 7;4;845;0.925
Landsat 7;4;846;0.924
Landsat 7;4;847;0.927
Landsat 7;4;848;0.932
Landsat 7;4;849;0.934
Landsat 7;4;850;0.943
Landsat 7;4;851;0.952
Landsat 7;4;852;0.956
Landsat 7;4;853;0.966
Landsat 7;4;854;0.977
Landsat 7;4;855;0.985
Landsat 7;4;856;0.99
Landsat 7;4;857;0.992
Landsat 7;4;858;0.993
Landsat 7;4;859;0.994
Landsat 7;4;860;0.998
Landsat 7;4;861;0.996
Landsat 7;4;862;0.992
Landsat 7;4;863;0.991
Landsat 7;4;864;0.992
Landsat 7;4;865;0.994
Landsat 7;4;866;0.993
Landsat 7;4;867;0.997
Landsat 7;4;868;0.997
Landsat 7;4;869;0.996
Landsat 7;4;870;0.998
Landsat 7;4;871;0.999
Landsat 7;4;872;1
Landsat 7;4;873;0.999
Landsat 7;4;874;0.996
Landsat 7;4;875;0.991
Landsat 7;4;876;0.99
Landsat 7;4;877;0.991
Landsat 7;4;878;0.985
Landsat 7;4;879;0.978
Landsat 7;4;880;0.969
Landsat 7;4;881;0.955
Landsat 7;4;882;0.937
Landsat 7;4;883;0.916
Landsat 7;4;884;0.892
Landsat 7;4;885;0.868
Landsat 7;4;886;0.845
Landsat 7;4;887;0.824
Landsat 7;4;888;0.811
Landsat 7;4;889;0.807
Landsat 7;4;890;0.819
Landsat 7;4;891;0.841
Landsat 7;4;892;0.868
Landsat 7;4;893;0.892
Landsat 7;4;894;0.892
Landsat 7;4;895;0.854
Landsat 7;4;896;0.77
Landsat 7;4;897;0.644
Landsat 7;4;898;0.501
Landsat 7;4;899;0.365
Landsat 7;4;900;0.256
Landsat 7;4;901;0.177
Landsat 7;4;902;0.122
Landsat 7;4;903;0.085
Landsat 7;4;904;0.061
Landsat 7;4;905;0.044
Landsat 7;4;906;0.032
Landsat 7;4;907;0.025
Landsat 7;4;908;0.019
Landsat 7;4;909;0.014
Landsat 7;4;910;0.011
Landsat 7;4;911;0.0107
Landsat 7;4;912;0.008
Landsat 7;4;913;0.0061
Landsat 7;4;914;0.0052
Landsat 7;4;915;0
Landsat 7;4;920;0
Landsat 7;4;925;0
Landsat 7;4;930;0
Landsat 7;4;935;0
Landsat 7;4;940;0
Landsat 7;4;945;0
Landsat 7;5;1514;0.006
Landsat 7;5;1515;0.012
Landsat 7;5;1517;0.003
Landsat 7;5;1519;0.015
Landsat 7;5;1521;0.012
Landsat 7;5;1523;0.024
Landsat 7;5;1525;0.04
Landsat 7;5;1526;0.041
Landsat 7;5;1528;0.057
Landsat 7;5;1530;0.076
Landsat 7;5;1532;0.097
Landsat 7;5;1534;0.12
Landsat 7;5;1536;0.176
Landsat 7;5;1538;0.215
Landsat 7;5;1540;0.274
Landsat 7;5;1542;0.339
Landsat 7;5;1543;0.393
Landsat 7;5;1545;0.462
Landsat 7;5;1547;0.499
Landsat 7;5;1549;0.558
Landsat 7;5;1551;0.598
Landsat 7;5;1553;0.634
Landsat 7;5;1555;0.667
Landsat 7;5;1557;0.704
Landsat 7;5;1559;0.724
Landsat 7;5;1561;0.75
Landsat 7;5;1563;0.778
Landsat 7;5;1565;0.808
Landsat 7;5;1567;0.825
Landsat 7;5;1569;0.851
Landsat 7;5;1571;0.867
Landsat 7;5;1572;0.872
Landsat 7;5;1574;0.884
Landsat 7;5;1576;0.902
Landsat 7;5;1578;0.901
Landsat 7;5;1580;0.896
Landsat 7;5;1582;0.897
Landsat 7;5;1584;0.89
Landsat 7;5;1586;0.899
Landsat 7;5;1588;0.884
Landsat 7;5;1590;0.876
Landsat 7;5;1592;0.867
Landsat 7;5;1594;0.873
Landsat 7;5;1596;0.872
Landsat 7;5;1598;0.879
Landsat 7;5;1600;0.874
Landsat 7;5;1602;0.861
Landsat 7;5;1604;0.859
Landsat 7;5;1606;0.877
Landsat 7;5;1608;0.879
Landsat 7;5;1610;0.899
Landsat 7;5;1613;0.893
Landsat 7;5;1615;0.9
Landsat 7;5;1617;0.897
Landsat 7;5;1619;0.917
Landsat 7;5;1621;0.921
Landsat 7;5;1623;0.926
Landsat 7;5;1625;0.929
Landsat 7;5;1627;0.945
Landsat 7;5;1629;0.947
Landsat 7;5;1631;0.948
Landsat 7;5;1633;0.955
Landsat 7;5;1635;0.952
Landsat 7;5;1637;0.969
Landsat 7;5;1639;0.96
Landsat 7;5;1641;0.962
Landsat 7;5;1643;0.959
Landsat 7;5;1645;0.978
Landsat 7;5;1647;0.96
Landsat 7;5;1649;0.955
Landsat 7;5;1651;0.952
