SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;1;427;0.000073;0
Landsat 8;1;428;0.000609;0.000086
Landsat 8;1;429;0.001628;0.000143
Landsat 8;1;430;0.003421;0.000274
Landsat 8;1;431;0.008019;0.000606
Landsat 8;1;432;0.024767;0.002033
Landsat 8;1;433;0.085688;0.008333
Landsat 8;1;434;0.254149;0.022668
Landsat 8;1;435;0.517821;0.026035
Landsat 8;1;436;0.765117;0.016377
Landsat 8;1;437;0.908749;0.010562
Landsat 8;1;438;0.958204;0.007447
Landsat 8;1;439;0.977393;0.007081
Landsat 8;1;440;0.98379;0.005655
Landsat 8;1;441;0.989052;0.001909
Landsat 8;1;442;0.986713;0.003349
Landsat 8;1;443;0.993683;0.003059
Landsat 8;1;444;0.993137;0.00172
Landsat 8;1;445;1;0.003818
Landsat 8;1;446;0.996969;0.00637
Landsat 8;1;447;0.98278;0.004858
Landsat 8;1;448;0.972692;0.005661
Landsat 8;1;449;0.905808;0.017868
Landsat 8;1;450;0.745606;0.028282
Landsat 8;1;451;0.471329;0.024486
Landsat 8;1;452;0.226412;0.012833
Landsat 8;1;453;0.09286;0.006431
Landsat 8;1;454;0.036603;0.003277
Landsat 8;1;455;0.014537;0.001545
Landsat 8;1;456;0.005829;0.000679
Landsat 8;1;457;0.002414;0.000297
Landsat 8;1;458;0.000984;0.000142
Landsat 8;1;459;0.000255;0.000083
Landsat 8;2;436;0.00001;0.000006
Landsat 8;2;437;0.000061;0.000239
Landsat 8;2;438;0.000117;0.000255
Landsat 8;2;439;0.000241;0.000248
Landsat 8;2;440;0.000349;0.000243
Landsat 8;2;441;0.000455;0.000252
Landsat 8;2;442;0.000756;0.000247
Landsat 8;2;443;0.001197;0.000252
Landsat 8;2;444;0.00207;0.000251
Landsat 8;2;445;0.003712;0.000285
Landsat 8;2;446;0.006869;0.000367
Landsat 8;2;447;0.013212;0.000585
Landsat 8;2;448;0.02717;0.001186
Landsat 8;2;449;0.058606;0.002555
Landsat 8;2;450;0.130876;0.006141
Landsat 8;2;451;0.27137;0.012659
Landsat 8;2;452;0.493542;0.019898
Landsat 8;2;453;0.723971;0.019377
Landsat 8;2;454;0.85751;0.011096
Landsat 8;2;455;0.894222;0.004754
Landsat 8;2;456;0.903034;0.003548
Landsat 8;2;457;0.910928;0.003504
Landsat 8;2;458;0.90988;0.003636
Landsat 8;2;459;0.899475;0.003131
Landsat 8;2;460;0.897977;0.003677
Landsat 8;2;461;0.889667;0.00693
Landsat 8;2;462;0.883542;0.010013
Landsat 8;2;463;0.877453;0.011648
Landsat 8;2;464;0.881011;0.011571
Landsat 8;2;465;0.874721;0.009472
Landsat 8;2;466;0.879688;0.006468
Landsat 8;2;467;0.886569;0.004118
Landsat 8;2;468;0.891913;0.003214
Landsat 8;2;469;0.88768;0.002561
Landsat 8;2;470;0.861157;0.003768
Landsat 8;2;471;0.848533;0.004384
Landsat 8;2;472;0.840828;0.002567
Landsat 8;2;473;0.828339;0.004611
Landsat 8;2;474;0.844202;0.007969
Landsat 8;2;475;0.865864;0.00746
Landsat 8;2;476;0.868497;0.004642
Landsat 8;2;477;0.890253;0.003256
Landsat 8;2;478;0.912538;0.004595
Landsat 8;2;479;0.910385;0.004559
Landsat 8;2;480;0.918822;0.00329
Landsat 8;2;481;0.931726;0.002299
Landsat 8;2;482;0.931813;0.002434
Landsat 8;2;483;0.954248;0.002877
Landsat 8;2;484;0.955545;0.003145
Landsat 8;2;485;0.96242;0.003105
Landsat 8;2;486;0.956424;0.002786
Landsat 8;2;487;0.953352;0.002824
Landsat 8;2;488;0.978564;0.00243
Landsat 8;2;489;0.989104;0.002125
Landsat 8;2;490;0.985615;0.002008
Landsat 8;2;491;0.989469;0.003062
Landsat 8;2;492;0.982262;0.003297
Landsat 8;2;493;0.968801;0.004657
Landsat 8;2;494;0.967332;0.009713
Landsat 8;2;495;0.976836;0.013952
Landsat 8;2;496;0.988729;0.011626
Landsat 8;2;497;0.980826;0.004167
Landsat 8;2;498;0.967361;0.005395
Landsat 8;2;499;0.954754;0.002634
Landsat 8;2;500;0.964132;0.004563
Landsat 8;2;501;0.966125;0.00597
Landsat 8;2;502;0.966772;0.002722
Landsat 8;2;503;0.981834;0.006369
Landsat 8;2;504;0.98232;0.00869
Landsat 8;2;505;0.965685;0.004861
Landsat 8;2;506;0.963135;0.007665
Landsat 8;2;507;0.972261;0.015734
Landsat 8;2;508;0.996498;0.01406
Landsat 8;2;509;1;0.007425
Landsat 8;2;510;0.9556;0.007475
Landsat 8;2;511;0.844893;0.013412
Landsat 8;2;512;0.534592;0.035112
Landsat 8;2;513;0.190738;0.02464
Landsat 8;2;514;0.048329;0.007771
Landsat 8;2;515;0.013894;0.002572
Landsat 8;2;516;0.005328;0.001211
Landsat 8;2;517;0.002611;0.000744
Landsat 8;2;518;0.001557;0.000549
Landsat 8;2;519;0.0011;0.000482
Landsat 8;2;520;0.000785;0.000401
Landsat 8;2;521;0.000516;0.000331
Landsat 8;2;522;0.000321;0.000273
Landsat 8;2;523;0.000162;0.000236
Landsat 8;2;524;0.000072;0.000191
Landsat 8;2;525;0.000057;0.000185
Landsat 8;2;526;0.000023;0.000187
Landsat 8;2;527;0.000032;0.000183
Landsat 8;2;528;-0.000016;0.00018
Landsat 8;3;512;-0.000046;-0.000165
Landsat 8;3;513;0.000016;0.000026
Landsat 8;3;514;0.00011;0.000194
Landsat 8;3;515;0.000247;0.000193
Landsat 8;3;516;0.000362;0.000197
Landsat 8;3;517;0.000648;0.000197
Landsat 8;3;518;0.000935;0.000201
Landsat 8;3;519;0.001332;0.000201
Landsat 8;3;520;0.001816;0.00019
Landsat 8;3;521;0.002515;0.000202
Landsat 8;3;522;0.003446;0.000206
