WAVENUMBER;WAVELENGTH; MCebKur_MChKur;MNewKur;MthKur;MoldKur;MODWherli_WMO;NN
50000;200;5.67E-03;5.67E-03;5.67E-03;7.84E-03;;0.00452491
49999;200.004;5.67E-03;5.67E-03;5.67E-03;7.84E-03;;0.004524729
49998;200.008;5.67E-03;5.67E-03;5.67E-03;7.84E-03;;0.004524548
49997;200.012;5.67E-03;5.67E-03;5.67E-03;7.84E-03;;0.004524367
49996;200.016;4.56E-03;4.56E-03;4.56E-03;7.84E-03;;0.004524186
49995;200.02;3.98E-03;3.98E-03;3.98E-03;7.84E-03;;0.004074104
49994;200.024;3.16E-03;3.16E-03;3.16E-03;7.85E-03;;0.003624058
49993;200.028;2.77E-03;2.77E-03;2.77E-03;7.85E-03;;0.00329901
49992;200.032;2.97E-03;2.97E-03;2.97E-03;7.85E-03;;0.003123938
49991;200.036;2.81E-03;2.81E-03;2.81E-03;7.85E-03;;0.003073832
49990;200.04;2.75E-03;2.75E-03;2.75E-03;7.85E-03;;0.003148677
49989;200.044;3.29E-03;3.29E-03;3.29E-03;7.85E-03;;0.003298482
49988;200.048;3.89E-03;3.89E-03;3.89E-03;7.85E-03;;0.003448275
49987;200.052;3.90E-03;3.90E-03;3.90E-03;7.85E-03;;0.003523097
49986;200.056;7.90E-03;3.77E-03;3.77E-03;7.86E-03;;0.003572927
49985;200.06;7.89E-03;3.36E-03;3.36E-03;7.86E-03;;0.003622753
49984;200.064;7.88E-03;3.30E-03;3.30E-03;7.86E-03;;0.003747525
49983;200.068;7.87E-03;3.25E-03;3.25E-03;7.86E-03;;0.003972218
49982;200.072;7.87E-03;3.99E-03;3.99E-03;7.86E-03;6.50E-03;0.004346782
49981;200.076;7.86E-03;5.01E-03;5.01E-03;7.86E-03;6.99E-03;0.004771276
49980;200.08;7.85E-03;5.79E-03;5.79E-03;7.86E-03;6.78E-03;0.005120798
49979;200.084;7.84E-03;5.89E-03;5.89E-03;7.86E-03;7.31E-03;0.005320421
49978;200.088;7.84E-03;6.11E-03;6.11E-03;7.87E-03;8.92E-03;0.005370164
49977;200.092;7.83E-03;5.49E-03;5.49E-03;7.87E-03;9.10E-03;0.005195113
49976;200.096;7.82E-03;4.61E-03;4.61E-03;7.87E-03;9.23E-03;0.00494515
49975;200.1001;7.81E-03;4.40E-03;4.40E-03;7.87E-03;8.84E-03;0.004695207
49974;200.1041;7.80E-03;4.27E-03;4.27E-03;7.87E-03;7.87E-03;0.004520205
49973;200.1081;7.80E-03;3.92E-03;3.92E-03;7.87E-03;7.00E-03;0.004420134
49972;200.1121;7.79E-03;4.47E-03;4.47E-03;7.87E-03;5.42E-03;0.004394985
49971;200.1161;7.78E-03;4.84E-03;4.84E-03;7.87E-03;5.14E-03;0.00439481
49970;200.1201;7.77E-03;4.56E-03;4.56E-03;7.88E-03;5.09E-03;0.004344695
49969;200.1241;7.77E-03;4.30E-03;4.30E-03;7.88E-03;4.71E-03;0.004219678
49968;200.1281;7.76E-03;4.22E-03;4.22E-03;7.88E-03;4.86E-03;0.004094672
49967;200.1321;7.75E-03;3.78E-03;3.78E-03;7.88E-03;5.19E-03;0.003994642
49966;200.1361;7.74E-03;3.43E-03;3.43E-03;7.88E-03;5.61E-03;0.004019447
49965;200.1401;7.74E-03;3.49E-03;3.49E-03;7.88E-03;6.55E-03;0.004243967
49964;200.1441;7.73E-03;4.09E-03;4.09E-03;7.88E-03;6.26E-03;0.004693141
49963;200.1481;7.72E-03;5.12E-03;5.12E-03;7.88E-03;8.24E-03;0.005317015
49962;200.1521;7.71E-03;6.02E-03;6.02E-03;7.89E-03;8.42E-03;0.006015725
49961;200.1561;7.71E-03;7.36E-03;7.36E-03;7.89E-03;9.35E-03;0.006739339
